exp_name,dataset,model,setup,ckpt_avg,calib,seed,source_lang,target_lang,metric,score
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,1,,ar,accuracy,0.7743216156959534
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,1,,es,ece,0.0455677285790443
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,1,,es,accuracy,0.8729318380355835
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,1,,hi,ece,0.0373845323920249
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,1,,hi,accuracy,0.8100595474243164
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,1,,id,ece,0.0249535981565713
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,1,,id,accuracy,0.8524156212806702
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,1,,my,ece,0.0600138045847415
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,1,,my,accuracy,0.7352746725082397
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,1,,ru,ece,0.0558926276862621
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,1,,ru,accuracy,0.8444738388061523
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,1,,sw,ece,0.0288974065333604
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,1,,sw,accuracy,0.7313037514686584
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,1,,zh,ece,0.0250358097255229
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,1,,zh,accuracy,0.8405029773712158
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,0,,ar,ece,0.0385402143001556
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,0,,ar,accuracy,0.772998034954071
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,0,,es,ece,0.0332152284681797
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,0,,es,accuracy,0.8537392616271973
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,0,,hi,ece,0.0190231185406446
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,0,,hi,accuracy,0.7935142517089844
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,0,,id,ece,0.024622619152069
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,0,,id,accuracy,0.8305757641792297
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,0,,my,ece,0.0388075485825538
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,0,,my,accuracy,0.7213765978813171
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,0,,ru,ece,0.0562833622097969
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,0,,ru,accuracy,0.8173395395278931
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,0,,sw,ece,0.0545183792710304
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,0,,sw,accuracy,0.7121111750602722
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,0,,zh,ece,0.0220692977309227
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,0,,zh,accuracy,0.834546685218811
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,2,,ar,ece,0.0298678465187549
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,2,,ar,accuracy,0.790205180644989
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,2,,es,ece,0.0389454513788223
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,2,,es,accuracy,0.8616809844970703
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,2,,hi,ece,0.0409814864397048
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,2,,hi,accuracy,0.8180013298988342
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,2,,id,ece,0.0385117009282112
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,2,,id,accuracy,0.8663136959075928
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,2,,my,ece,0.0578116327524185
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,2,,my,accuracy,0.7432163953781128
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,2,,ru,ece,0.0545640215277671
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,2,,ru,accuracy,0.8623428344726562
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,2,,sw,ece,0.0341150388121604
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,2,,sw,accuracy,0.7332892417907715
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,2,,zh,ece,0.0279216170310974
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,2,,zh,accuracy,0.859695553779602
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,3,,ar,ece,0.0254730954766273
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,3,,ar,accuracy,0.7948378324508667
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,3,,es,ece,0.0344885103404521
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,3,,es,accuracy,0.8656519055366516
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,3,,hi,ece,0.0347834825515747
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,3,,hi,accuracy,0.8100595474243164
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,3,,id,ece,0.0444035604596138
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,3,,id,accuracy,0.8616809844970703
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,3,,my,ece,0.0685309246182441
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,3,,my,accuracy,0.7551290392875671
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,3,,ru,ece,0.0506507419049739
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,3,,ru,accuracy,0.8530774116516113
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,3,,sw,ece,0.0315319634974002
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,3,,sw,accuracy,0.737260103225708
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,3,,zh,ece,0.0323362126946449
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,3,,zh,accuracy,0.8563864827156067
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,4,en,ar,ece,0.1291746795177459
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,4,en,ar,accuracy,0.7113772630691528
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,4,en,de,ece,0.0991999804973602
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,4,en,de,accuracy,0.7532933950424194
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,4,en,el,ece,0.1137934997677803
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,4,en,el,accuracy,0.7427145838737488
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,4,en,es,ece,0.0827736854553222
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,4,en,es,accuracy,0.7806386947631836
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,4,en,hi,ece,0.1437727808952331
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,4,en,hi,accuracy,0.6860279440879822
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,4,en,ru,ece,0.106079414486885
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,4,en,ru,accuracy,0.7469061613082886
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,4,en,sw,ece,0.1868392378091812
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,4,en,sw,accuracy,0.624950110912323
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,4,en,tr,ece,0.134709894657135
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,4,en,tr,accuracy,0.7091816663742065
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,4,en,vi,ece,0.1138145327568054
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,4,en,vi,accuracy,0.7379241585731506
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,4,en,zh,ece,0.1184196323156356
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,4,en,zh,accuracy,0.7295409440994263
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,1,en,ar,ece,0.0218067876994609
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,1,en,ar,accuracy,0.7065868377685547
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,1,en,de,ece,0.0289104059338569
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,1,en,de,accuracy,0.7407185435295105
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,1,en,el,ece,0.0269456058740615
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,1,en,el,accuracy,0.7459082007408142
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,1,en,es,ece,0.0347880646586418
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,1,en,es,accuracy,0.7770459055900574
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,1,en,hi,ece,0.0311840455979108
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,1,en,hi,accuracy,0.6894211769104004
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,1,en,ru,ece,0.0276859905570745
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,1,en,ru,accuracy,0.7457085847854614
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,1,en,sw,ece,0.0177125856280326
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,1,en,sw,accuracy,0.6395209431648254
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,1,en,tr,ece,0.0257368255406618
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,1,en,tr,accuracy,0.7165668606758118
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,1,en,vi,ece,0.0312044043093919
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,1,en,vi,accuracy,0.7514970302581787
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,1,en,zh,ece,0.0237449780106544
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,1,en,zh,accuracy,0.7323353290557861
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,0,en,ar,ece,0.1631964743137359
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,0,en,ar,accuracy,0.7041916251182556
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,0,en,de,ece,0.1299473941326141
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,0,en,de,accuracy,0.7451097965240479
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,0,en,el,ece,0.1310453712940216
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,0,en,el,accuracy,0.7437126040458679
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,0,en,es,ece,0.1059816405177116
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,0,en,es,accuracy,0.7722554802894592
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,0,en,hi,ece,0.17641581594944
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,0,en,hi,accuracy,0.6816367506980896
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,0,en,ru,ece,0.1406957358121872
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,0,en,ru,accuracy,0.7347305417060852
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,0,en,sw,ece,0.2099040448665619
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,0,en,sw,accuracy,0.6269460916519165
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,0,en,tr,ece,0.160414919257164
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,0,en,tr,accuracy,0.7043912410736084
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,0,en,vi,ece,0.1353419125080108
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,0,en,vi,accuracy,0.7363273501396179
xnli_xlmr_fft_ls_none,xnli,xlmr,fft,none,ls,0,en,zh,ece,0.1487243175506591
